punk_id,Trait
393,'VR'
394,'Earring'
394,'PinkWithHat'
394,'HiddenEarring'
395,'CapForward'
395,'Earring'
395,'NormalBeard'
396,'StraightHairBlonde'
397,'CowboyHat'
398,'Bandana'
399,'PurpleHair'
399,'SmallShades'
400,'BlondeBob'
400,'PurpleEyeShadow'
400,'PurpleLipstick'
401,'BigBeard'
401,'Earring'
401,'FrumpyHair'
402,'FrontBeardDark'
402,'MohawkThin'
403,'ClassicShades'
403,'ClownHairGreen'
404,'Cigarette'
404,'OrangeSide'
404,'SilverChain'
405,'MessyHair'
406,'Hoodie'
406,'NerdGlasses'
407,'Earring'
407,'PurpleLipstick'
407,'WildBlonde'
408,'CapForward'
409,'BlackLipstick'
409,'KnittedCap'
410,'EyePatch'
410,'Headband'
411,'BlackLipstick'
411,'ClownEyesBlue'
411,'WildHair'
412,'ClassicShades'
412,'Earring'
412,'PurpleHair'
412,'HiddenEarring'
413,'StraightHair'
414,'Earring'
414,'ShadowBeard'
414,'TopHat'
415,'Frown'
415,'Mole'
415,'PoliceCap'
415,'SmallShades'
416,'Cigarette'
416,'Hoodie'
416,'Smile'
417,'StraightHairDark'
418,'BlackLipstick'
418,'Vape'
418,'WildWhiteHair'
419,'Bandana'
419,'Earring'
420,'CrazyHair'
420,'Earring'
421,'FrontBeard'
421,'WildHair'
422,'DarkHair'
422,'Earring'
422,'PurpleEyeShadow'
422,'PurpleLipstick'
422,'HiddenEarring'
423,'ClownEyesBlue'
423,'ShavedHead'
424,'Hoodie'
424,'Muttonchops'
424,'RegularShades'
425,'BlackLipstick'
425,'HornedRimGlasses'
425,'MessyHair'
426,'BigShades'
426,'PeakSpike'
427,'MessyHair'
428,'PurpleEyeShadow'
429,'PoliceCap'
429,'Smile'
430,'DarkHair'
430,'Earring'
430,'PurpleLipstick'
430,'HiddenEarring'
431,'Headband'
431,'HornedRimGlasses'
432,'Cigarette'
432,'Earring'
432,'MessyHair'
433,'Earring'
433,'MohawkThin'
433,'NormalBeard'
433,'RegularShades'
434,'EyeMask'
434,'FrumpyHair'
435,'MohawkThin'
435,'Muttonchops'
436,'MedicalMask'
437,'CrazyHair'
437,'EyePatch'
437,'FrontBeardDark'
438,'MohawkDark'
439,'KnittedCap'
439,'ShadowBeard'
440,'BlackLipstick'
440,'BlondeShort'
441,'ShadowBeard'
441,'StringyHair'
442,'CowboyHat'
442,'FrontBeard'
