Punk_id,Rarity,Genre,Skin,Traits,Owned_by
8960,5560,Male,Mid,"['Handlebars', 'MohawkDark', 'NerdGlasses']",0xa25803
8961,5655,Female,Albino,"['BlueEyeShadow', 'MohawkDark']",0xf11538
8962,3708,Female,Light,"['NerdGlasses', 'TassleHat']",0xD79b93
8963,5465,Male,Mid,"['Cigarette', 'ClownEyesGreen', 'Handlebars', 'ShavedHead']",0xD79b93
8964,2312,Female,Mid,"['BigShades', 'HalfShaved']",0xD79b93
8965,6419,Male,Mid,"['BigShades', 'Earring', 'KnittedCap', 'LuxuriousBeard']",0xD79b93
8966,308,Female,Mid,"['OrangeSide', 'PurpleLipstick']",0xD79b93
8967,4819,Male,Albino,"['BigShades', 'Hoodie', 'Vape']",0x6eA073
8968,4913,Male,Light,"['Hoodie', 'Muttonchops', 'RegularShades']",0xD79b93
8969,3989,Male,Mid,"['Earring', 'NormalBeard', 'PoliceCap', 'VR']",0x8F6b1e
8970,7702,Male,Dark,"['MohawkDark', 'Muttonchops']",0x5E5BA6
8971,6447,Male,Dark,"['ClassicShades', 'Earring', 'LuxuriousBeard', 'MohawkThin']",0x968e01
8972,593,Female,Mid,"['BlackLipstick', 'EyeMask', 'Pigtails']",0x23f67f
8973,9444,Female,Mid,"['FrumpyHair', 'Mole']",0x48587E
8974,4945,Male,Dark,"['Cigarette', 'ClownEyesGreen', 'Hoodie']",0xC6a820
8975,466,Female,Mid,"['FrumpyHair', 'WeldingGoggles']",0x6611fE
8976,3057,Female,Mid,"['ClassicShades', 'DarkHair']",0x00B278
8977,8817,Female,Mid,"['Cigarette', 'CrazyHair', 'Earring', 'HotLipstick']",0x6611fE
8978,3154,Male,Light,"['Chinstrap', 'HornedRimGlasses', 'PurpleHair']",0x6491bc
8979,6917,Male,Albino,"['NormalBeard', 'ShavedHead']",0xd5b171
8980,2993,Female,Light,"['BlueEyeShadow', 'DarkHair', 'HotLipstick', 'Mole']",0x2f2f23
8981,1455,Male,Light,"['CowboyHat', 'ShadowBeard']",0x8Dbbca
8982,9177,Female,Light,"['HornedRimGlasses', 'Mohawk', 'Mole', 'PurpleLipstick']",0xd5b171
8983,4580,Female,Light,"['Cigarette', 'Earring']",0xdD9D84
8984,5150,Male,Light,"['Earring', 'FrontBeardDark', 'MessyHair']",0x7c7d09
8985,3396,Male,Dark,"['Do-rag', 'EyeMask', 'FrontBeardDark', 'GoldChain']",0x51688C
8986,2480,Female,Albino,"['BlueEyeShadow', 'StraightHairDark']",0x062C54
8987,4427,Male,Light,"['Chinstrap', 'NerdGlasses']",0xc9D483
8988,5997,Male,Light,"['Cap', 'Earring', 'FrontBeard']",0xF3551f
8989,1116,Female,Mid,"['BlondeShort', 'BlueEyeShadow', 'Earring']",0x449c69
8990,7611,Male,Mid,"['PeakSpike', 'Pipe', 'VR']",0x3CA987
8991,4751,Male,Dark,"['CapForward', 'RegularShades']",0xCE3ecc
8992,5568,Male,Dark,"['BigShades', 'Earring', 'Handlebars', 'Mohawk']",0xa25803
8993,6383,Male,Light,"['ClownEyesBlue', 'LuxuriousBeard', 'WildHair']",0xB0CA2E
8994,222,Female,Dark,"['Cigarette', 'ClownEyesBlue', 'Tiara']",0x2cc123
8995,6568,Male,Light,"['EyeMask', 'Mustache', 'ShavedHead']",0xF9963d
8996,8936,Male,Dark,"['Cigarette', 'Earring', 'KnittedCap']",0x0B3DD7
